unitid,year,offering_highest_level,inst_size,hbcu,medical_degree,tribal_college,land_grant,inst_affiliation,oncampus_housing,calendar_system,study_abroad,dual_credit,ap_credit,employment_services,placement_services,oncampus_daycare,disability_indicator,cluster
102711,2014,3,1,0,0,0,0,1.0,1.0,6.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,6
102845,2014,7,2,0,0,0,0,2.0,0.0,5.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0
103501,2014,3,1,0,0,0,0,2.0,0.0,7.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,6
103644,2014,5,2,0,0,0,0,2.0,0.0,5.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,6
103723,2014,5,1,0,0,0,0,2.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,7
103732,2014,2,1,0,0,0,0,2.0,0.0,7.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1
103741,2014,2,1,0,0,0,0,2.0,0.0,7.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1
103778,2014,8,1,0,0,0,0,3.0,1.0,3.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0
103787,2014,5,1,0,0,0,0,4.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,3
103811,2014,1,1,0,0,0,0,2.0,0.0,7.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1
103893,2014,3,1,0,0,0,0,2.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,6
103909,2014,4,1,0,0,0,0,2.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,6
103927,2014,3,1,0,0,0,0,2.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,6
103945,2014,5,1,0,0,0,0,3.0,0.0,5.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,6
103954,2014,2,1,0,0,0,0,2.0,0.0,7.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1
103963,2014,2,1,0,0,0,0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1
104090,2014,7,2,0,0,0,0,2.0,0.0,7.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0
104151,2014,9,5,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4
104160,2014,3,3,0,0,0,0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,5
104179,2014,9,5,0,1,0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,4
104188,2014,7,1,0,0,0,0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,9
104346,2014,3,3,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,5
104364,2014,5,1,0,0,0,0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,7
104391,2014,2,1,0,0,0,0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1
104425,2014,3,2,0,0,0,0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,2
104434,2014,2,1,0,0,0,0,2.0,0.0,7.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1
104443,2014,2,1,0,0,0,0,2.0,0.0,7.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1
104504,2014,2,1,0,0,0,0,2.0,0.0,7.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1
104568,2014,2,1,0,0,0,0,2.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1
104577,2014,3,3,0,0,0,0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,5
104586,2014,7,2,0,0,0,0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,3
104665,2014,7,1,0,0,0,0,3.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
104708,2014,3,5,0,0,0,0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,5
104717,2014,9,5,0,0,0,0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,4
104911,2014,2,1,0,0,0,0,2.0,0.0,7.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1
105145,2014,4,3,0,0,0,0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,5
105154,2014,3,5,0,0,0,0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5
105163,2014,5,1,0,0,0,0,2.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,7
105172,2014,5,1,0,0,0,0,2.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,7
105206,2014,3,2,0,0,0,0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2
105215,2014,4,2,0,0,0,0,2.0,0.0,7.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,6
105297,2014,5,2,0,0,1,1,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,7
105330,2014,9,5,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,4
105349,2014,3,2,0,0,0,0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2
105367,2014,8,1,0,0,0,0,4.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,8
105428,2014,3,4,0,0,0,0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,5
105482,2014,1,1,0,0,0,0,2.0,0.0,6.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1
105525,2014,3,5,0,0,0,0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,5
105534,2014,5,2,0,0,0,0,2.0,0.0,6.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,6
105543,2014,3,1,0,0,0,0,2.0,0.0,6.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,6
105589,2014,9,1,0,0,0,0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,8
105659,2014,3,1,0,0,0,0,2.0,0.0,6.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,6
105668,2014,3,5,0,0,0,0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,5
105677,2014,1,1,0,0,0,0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1
105701,2014,2,1,0,0,0,0,2.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1
105747,2014,3,3,0,0,0,0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,5
105792,2014,3,2,0,0,0,0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,2
105899,2014,5,1,0,0,0,0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,3
105987,2014,2,1,0,0,0,0,2.0,0.0,6.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1
106041,2014,3,2,0,0,0,0,2.0,0.0,7.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,6
106102,2014,7,2,0,0,0,0,2.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0
106111,2014,2,1,0,0,0,0,2.0,0.0,7.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1
106148,2014,3,3,0,0,0,0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,5
106245,2014,9,4,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,4
106263,2014,9,2,0,1,0,0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,9
106281,2014,2,1,0,0,0,0,2.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
106306,2014,5,1,1,0,0,0,4.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3
106315,2014,2,1,0,0,0,0,2.0,0.0,7.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1
