unitid,offering_highest_level,offering_highest_degree,offering_grad,inst_size,hbcu,medical_degree,tribal_college,land_grant,sector,inst_control,fips,inst_affiliation,oncampus_housing,calendar_system,study_abroad,dual_credit,ap_credit,employment_services,placement_services,oncampus_daycare,disability_indicator,disability_percentage,cont_prof_prog_offered,occupational_prog_offered,acceptance_rate,tuition_fees_ft
176460,5.4,28.0,0.2,0.5,0.0,0.0,0.0,0.0,2.0,2.0,28.0,4.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,7.079084249084248,0.0,0.0,0.6895787139689579,6545.2
176479,8.11111111111111,15.722222222222221,1.0,2.0714285714285716,0.0,0.4444444444444444,0.0,0.0,2.0,2.0,28.0,4.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,7.079084249084248,0.0,0.0,0.6694242223692919,8399.0
176488,3.0,40.0,0.0,1.2647372483399486,0.0,0.0,0.0,0.011551613280336685,5.0,2.0,28.0,4.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.6925298144185407,7.079084249084248,0.0,0.0,0.32673267326732675,5490.0
176549,3.0,40.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,3.0,29.0,2.0,0.0,6.538461538461538,0.0,0.0,0.0,0.3076923076923077,1.0,0.0,1.0,7.079084249084248,0.0,0.7692307692307693,0.7104120276160687,13514.5
176600,9.0,11.5,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,29.0,4.0,0.0,1.0,0.0,0.0,0.0,0.7222222222222222,0.7222222222222222,0.0,0.0,7.079084249084248,1.0,0.0,0.7104120276160687,13907.222222222223
176619,9.0,10.941176470588236,1.0,0.7692307692307693,0.0,0.0,0.0,0.0,2.0,2.0,29.0,4.0,0.0,1.0,0.625,0.0,0.0,0.4375,0.25,0.0,0.0,7.079084249084248,0.75,0.0,0.7104120276160687,11097.1875
176628,7.0,20.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,29.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.3888888888888889,1.0,7.079084249084248,0.0,0.0,0.5066160922547032,14017.805555555555
176637,5.0,30.0,0.0,0.9230769230769231,0.0,0.0,0.0,0.0,3.0,3.0,29.0,2.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,7.079084249084248,0.0,0.0,0.5541606886657102,15792.8
176664,7.0,20.333333333333332,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,29.0,4.0,1.0,1.0,0.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,7.079084249084248,0.0,0.0,0.7104120276160687,7094.694444444444
176770,6.333333333333333,24.444444444444443,0.5555555555555556,1.0,0.0,0.0,0.0,0.0,2.0,2.0,29.0,3.0,0.4444444444444444,1.0,0.0,1.0,1.0,0.05555555555555555,0.0,0.7222222222222222,1.0,7.079084249084248,0.0,0.0,0.7047817047817048,8928.964285714286
176789,7.0,20.38888888888889,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,29.0,4.0,1.0,1.0,0.0,1.0,1.0,1.0,0.2222222222222222,0.0,0.6,6.0,0.0,0.0,0.8738819320214669,7612.666666666667
176910,5.0,30.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,29.0,4.0,1.0,1.0,0.0,1.0,0.8888888888888888,1.0,1.0,0.0,1.0,7.079084249084248,0.0,0.0,0.4945868945868946,10583.722222222223
176938,5.0,30.0,0.0,0.7777777777777778,0.0,0.0,0.0,0.0,2.0,2.0,29.0,4.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,0.0,1.0,7.079084249084248,0.0,0.0,0.7512049900765523,9848.5
176947,5.333333333333333,28.333333333333332,0.16666666666666666,1.7857142857142858,0.0,0.0,0.0,0.0,2.0,2.0,29.0,4.0,1.0,1.0,0.8333333333333334,1.0,1.0,1.0,0.5,0.0,0.7,4.333333333333333,0.0,0.3888888888888889,0.6901491992517224,16472.85714285714
